sheet,dict_name,dict_type,description,source,note,sas_name
APPT_30_DAYS_AFTER_SURGERY,PRECEDE Study ID,ID; String,subject ID from Precede,,,PRECEDE_Study_ID
APPT_30_DAYS_AFTER_SURGERY,rt_RM_START_to_AN_START_mins,integer,Elapse time from room start to anesthesia start  in minutes,,,rt_RM_START_to_AN_START_mins
APPT_30_DAYS_AFTER_SURGERY,rt_RM_START_to_INCISION_mins,integer,Elapse time from room start to incision in minutes,,,rt_RM_START_to_INCISION_mins
APPT_30_DAYS_AFTER_SURGERY,rt_RM_START_to_DRESS_mins,integer,Elapse time from room start to dressing in minutes,,,rt_RM_START_to_DRESS_mins
APPT_30_DAYS_AFTER_SURGERY,rt_RM_START_to_AN_END_mins,integer,Elapse time from room start to anestesia end in minutes,,,rt_RM_START_to_AN_END_mins
APPT_30_DAYS_AFTER_SURGERY,rt_RM_START_to_RM_END_mins,integer,Elapse time from room start to room end in minutes,,,rt_RM_START_to_RM_END_mins
APPT_30_DAYS_AFTER_SURGERY,rt_RM_START_to_INDUCTION_mins,integer,Elapse time from room start to induction in minutes,,,rt_RM_START_to_INDUCTION_mins
APPT_30_DAYS_AFTER_SURGERY,rt_RM_START_to_EMERGENCE_mins,integer,Elapse time from room start to emergence,,,rt_RM_START_to_EMERGENCE_mins
APPT_30_DAYS_AFTER_SURGERY,LAB_RESULT,double,Result of the lab,,,LAB_RESULT
APPT_30_DAYS_AFTER_SURGERY,Minutes_After_Surgery,integer,Minutes after room end.,,,Minutes_After_Surgery
FIBRINOGEN_30_DAYS_AFTER_SURG..,PRECEDE Study ID,ID; String,subject ID from Precede,,,PRECEDE_Study_ID
FIBRINOGEN_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_START_mins,integer,Elapse time from room start to anesthesia start  in minutes,,,rt_RM_START_to_AN_START_mins
FIBRINOGEN_30_DAYS_AFTER_SURG..,rt_RM_START_to_INCISION_mins,integer,Elapse time from room start to incision in minutes,,,rt_RM_START_to_INCISION_mins
FIBRINOGEN_30_DAYS_AFTER_SURG..,rt_RM_START_to_DRESS_mins,integer,Elapse time from room start to dressing in minutes,,,rt_RM_START_to_DRESS_mins
FIBRINOGEN_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_END_mins,integer,Elapse time from room start to anestesia end in minutes,,,rt_RM_START_to_AN_END_mins
FIBRINOGEN_30_DAYS_AFTER_SURG..,rt_RM_START_to_RM_END_mins,integer,Elapse time from room start to room end in minutes,,,rt_RM_START_to_RM_END_mins
FIBRINOGEN_30_DAYS_AFTER_SURG..,rt_RM_START_to_INDUCTION_mins,integer,Elapse time from room start to induction in minutes,,,rt_RM_START_to_INDUCTION_mins
FIBRINOGEN_30_DAYS_AFTER_SURG..,rt_RM_START_to_EMERGENCE_mins,integer,Elapse time from room start to emergence,,,rt_RM_START_to_EMERGENCE_mins
FIBRINOGEN_30_DAYS_AFTER_SURG..,LAB_RESULT,double,Result of the lab,,,LAB_RESULT
FIBRINOGEN_30_DAYS_AFTER_SURG..,Minutes_After_Surgery,integer,Minutes after room end.,,,Minutes_After_Surgery
HEMATOCRIT_30_DAYS_AFTER_SURG..,PRECEDE Study ID,ID; String,subject ID from Precede,,,PRECEDE_Study_ID
HEMATOCRIT_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_START_mins,integer,Elapse time from room start to anesthesia start  in minutes,,,rt_RM_START_to_AN_START_mins
HEMATOCRIT_30_DAYS_AFTER_SURG..,rt_RM_START_to_INCISION_mins,integer,Elapse time from room start to incision in minutes,,,rt_RM_START_to_INCISION_mins
HEMATOCRIT_30_DAYS_AFTER_SURG..,rt_RM_START_to_DRESS_mins,integer,Elapse time from room start to dressing in minutes,,,rt_RM_START_to_DRESS_mins
HEMATOCRIT_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_END_mins,integer,Elapse time from room start to anestesia end in minutes,,,rt_RM_START_to_AN_END_mins
HEMATOCRIT_30_DAYS_AFTER_SURG..,rt_RM_START_to_RM_END_mins,integer,Elapse time from room start to room end in minutes,,,rt_RM_START_to_RM_END_mins
HEMATOCRIT_30_DAYS_AFTER_SURG..,rt_RM_START_to_INDUCTION_mins,integer,Elapse time from room start to induction in minutes,,,rt_RM_START_to_INDUCTION_mins
HEMATOCRIT_30_DAYS_AFTER_SURG..,rt_RM_START_to_EMERGENCE_mins,integer,Elapse time from room start to emergence,,,rt_RM_START_to_EMERGENCE_mins
HEMATOCRIT_30_DAYS_AFTER_SURG..,LAB_RESULT,double,Result of the lab,,,LAB_RESULT
HEMATOCRIT_30_DAYS_AFTER_SURG..,Minutes_After_Surgery,integer,Minutes after room end.,,,Minutes_After_Surgery
HEMOGLOBIN_30_DAYS_AFTER_SURG..,PRECEDE Study ID,ID; String,subject ID from Precede,,,PRECEDE_Study_ID
HEMOGLOBIN_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_START_mins,integer,Elapse time from room start to anesthesia start  in minutes,,,rt_RM_START_to_AN_START_mins
HEMOGLOBIN_30_DAYS_AFTER_SURG..,rt_RM_START_to_INCISION_mins,integer,Elapse time from room start to incision in minutes,,,rt_RM_START_to_INCISION_mins
HEMOGLOBIN_30_DAYS_AFTER_SURG..,rt_RM_START_to_DRESS_mins,integer,Elapse time from room start to dressing in minutes,,,rt_RM_START_to_DRESS_mins
HEMOGLOBIN_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_END_mins,integer,Elapse time from room start to anestesia end in minutes,,,rt_RM_START_to_AN_END_mins
HEMOGLOBIN_30_DAYS_AFTER_SURG..,rt_RM_START_to_RM_END_mins,integer,Elapse time from room start to room end in minutes,,,rt_RM_START_to_RM_END_mins
HEMOGLOBIN_30_DAYS_AFTER_SURG..,rt_RM_START_to_INDUCTION_mins,integer,Elapse time from room start to induction in minutes,,,rt_RM_START_to_INDUCTION_mins
HEMOGLOBIN_30_DAYS_AFTER_SURG..,rt_RM_START_to_EMERGENCE_mins,integer,Elapse time from room start to emergence,,,rt_RM_START_to_EMERGENCE_mins
HEMOGLOBIN_30_DAYS_AFTER_SURG..,LAB_RESULT,double,Result of the lab,,,LAB_RESULT
HEMOGLOBIN_30_DAYS_AFTER_SURG..,Minutes_After_Surgery,integer,Minutes after room end.,,,Minutes_After_Surgery
PLATELET_30_DAYS_AFTER_SURG..,PRECEDE Study ID,ID; String,subject ID from Precede,,,PRECEDE_Study_ID
PLATELET_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_START_mins,integer,Elapse time from room start to anesthesia start  in minutes,,,rt_RM_START_to_AN_START_mins
PLATELET_30_DAYS_AFTER_SURG..,rt_RM_START_to_INCISION_mins,integer,Elapse time from room start to incision in minutes,,,rt_RM_START_to_INCISION_mins
PLATELET_30_DAYS_AFTER_SURG..,rt_RM_START_to_DRESS_mins,integer,Elapse time from room start to dressing in minutes,,,rt_RM_START_to_DRESS_mins
PLATELET_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_END_mins,integer,Elapse time from room start to anestesia end in minutes,,,rt_RM_START_to_AN_END_mins
PLATELET_30_DAYS_AFTER_SURG..,rt_RM_START_to_RM_END_mins,integer,Elapse time from room start to room end in minutes,,,rt_RM_START_to_RM_END_mins
PLATELET_30_DAYS_AFTER_SURG..,rt_RM_START_to_INDUCTION_mins,integer,Elapse time from room start to induction in minutes,,,rt_RM_START_to_INDUCTION_mins
PLATELET_30_DAYS_AFTER_SURG..,rt_RM_START_to_EMERGENCE_mins,integer,Elapse time from room start to emergence,,,rt_RM_START_to_EMERGENCE_mins
PLATELET_30_DAYS_AFTER_SURG..,LAB_RESULT,double,Result of the lab,,,LAB_RESULT
PLATELET_30_DAYS_AFTER_SURG..,Minutes_After_Surgery,integer,Minutes after room end.,,,Minutes_After_Surgery
PROTIMEINR_30_DAYS_AFTER_SURG..,PRECEDE Study ID,ID; String,subject ID from Precede,,,PRECEDE_Study_ID
PROTIMEINR_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_START_mins,integer,Elapse time from room start to anesthesia start  in minutes,,,rt_RM_START_to_AN_START_mins
PROTIMEINR_30_DAYS_AFTER_SURG..,rt_RM_START_to_INCISION_mins,integer,Elapse time from room start to incision in minutes,,,rt_RM_START_to_INCISION_mins
PROTIMEINR_30_DAYS_AFTER_SURG..,rt_RM_START_to_DRESS_mins,integer,Elapse time from room start to dressing in minutes,,,rt_RM_START_to_DRESS_mins
PROTIMEINR_30_DAYS_AFTER_SURG..,rt_RM_START_to_AN_END_mins,integer,Elapse time from room start to anestesia end in minutes,,,rt_RM_START_to_AN_END_mins
PROTIMEINR_30_DAYS_AFTER_SURG..,rt_RM_START_to_RM_END_mins,integer,Elapse time from room start to room end in minutes,,,rt_RM_START_to_RM_END_mins
PROTIMEINR_30_DAYS_AFTER_SURG..,rt_RM_START_to_INDUCTION_mins,integer,Elapse time from room start to induction in minutes,,,rt_RM_START_to_INDUCTION_mins
PROTIMEINR_30_DAYS_AFTER_SURG..,rt_RM_START_to_EMERGENCE_mins,integer,Elapse time from room start to emergence,,,rt_RM_START_to_EMERGENCE_mins
PROTIMEINR_30_DAYS_AFTER_SURG..,LAB_RESULT,double,Result of the lab,,,LAB_RESULT
PROTIMEINR_30_DAYS_AFTER_SURG..,Minutes_After_Surgery,integer,Minutes after room end.,,,Minutes_After_Surgery
INTRAOP_FLO_MEAS_Blood,PRECEDE Study ID,ID,the subject ID provided by PI,,,PRECEDE_Study_ID
INTRAOP_FLO_MEAS_Blood,rt_RM_START_to_RECORDED_mins,Num,"the relative vital values recorded time, which is the length of time that has elapsed since patient is in the OR.",,,rt_RM_START_to_RECORDED_mins
INTRAOP_FLO_MEAS_Blood,rt_RM_START_to_AN_START_mins,Num,the elapsed time from OR start to anesthesia start,,,rt_RM_START_to_AN_START_mins
INTRAOP_FLO_MEAS_Blood,rt_RM_START_to_INCISION_mins,Num,the elapsed time from OR start to incision,,,rt_RM_START_to_INCISION_mins
INTRAOP_FLO_MEAS_Blood,rt_RM_START_to_DRESS_mins,Num,the elapsed time from OR start to dressing,,,rt_RM_START_to_DRESS_mins
INTRAOP_FLO_MEAS_Blood,rt_RM_START_to_AN_END_mins,Num,the elapsed time from OR start to anesthesia end,,,rt_RM_START_to_AN_END_mins
INTRAOP_FLO_MEAS_Blood,rt_RM_START_to_RM_END_mins,Num,the elapsed time from OR start to OR end,,,rt_RM_START_to_RM_END_mins
INTRAOP_FLO_MEAS_Blood,PRBC,num,,,matched thru CSN(Anes),PRBC
INTRAOP_FLO_MEAS_Blood,Cryo_CPT,num,,,matched thru CSN(Anes),Cryo_CPT
INTRAOP_FLO_MEAS_Blood,FFP,num,,,matched thru CSN(Anes),FFP
INTRAOP_FLO_MEAS_Blood,Pit_Platelet,num,,,matched thru CSN(Anes),Pit_Platelet
PERIOP_MEDS_Blood,PRECEDE Study ID,ID,the subject ID provided by PI,,,PRECEDE_Study_ID
PERIOP_MEDS_Blood,MASTER RECORD,record,data from MASTER DATASET,,,MASTER_RECORD
PERIOP_MEDS_Blood,rt_RM_START_to_TAKEN_mins,num,"the relative time of patient taking medication, which is the length of time that has elapsed since OR start time (negative value means before OR start time)",Clinical Encounters -> Taken Datetime,,rt_RM_START_to_TAKEN_mins
PERIOP_MEDS_Blood,rt_RM_START_to_TAKEN_days,num,days elapsed since OR start time,Clinical Encounters -> Taken Datetime,,rt_RM_START_to_TAKEN_days
PERIOP_MEDS_Blood,Intra-Op Med Y/N,char(1),indicator of intraop medication ('Y' is intraop medication; otherwise is 'N'),Clinical Encounters -> Intra-Op Med Y/N,,Intra_Op_Med_Y_N
PERIOP_MEDS_Blood,MAR_ACTION,char(25),"medication given status (GIVEN, NEW BAG, RATE CHANGE and STOP)",Clinical Encounters -> MAR Action,,MAR_ACTION
PERIOP_MEDS_Blood,MED_ORDER_DOSING_WEIGHT,,,,,MED_ORDER_DOSING_WEIGHT
PERIOP_MEDS_Blood,MED_ORDER_DISPLAY_NAME,,,,,MED_ORDER_DISPLAY_NAME
PERIOP_MEDS_Blood,MED_NAME,char(60),UF medication name,Clinical Encounters -> Med Name,,MED_NAME
PERIOP_MEDS_Blood,MED_FORM,char(45),Medication form (e.g. ‘Tablet’),Clinical Encounters -> Med Form,,MED_FORM
PERIOP_MEDS_Blood,MED_ROUTE,char(15),Medication route (e.g. ‘Oral’),Clinical Encounters -> Med Route,,MED_ROUTE
PERIOP_MEDS_Blood,MED_STRENGTH,char(15),Medication strength (e.g. ‘1 MG/ML’),Clinical Encounters -> Med Strength,,MED_STRENGTH
PERIOP_MEDS_Blood,Dosage,num,total medication administered dosage,Clinical Encounters -> Total Dose,,Dosage
PERIOP_MEDS_Blood,Dosage_Unit,char(10),Dose unit (e.g. ‘mg’),Clinical Encounters -> Med Dose Unit Desc,,Dosage_Unit
PERIOP_MEDS_Blood,Med Duration Desc,num,infusion duration,Clinical Encounters -> Med Duration Desc,,Med_Duration_Desc
PERIOP_MEDS_Blood,Med Duration Unit Desc,char(10),infusion duration time unit,Clinical Encounters -> Med Duration Unit Desc,,Med_Duration_Unit_Desc
PERIOP_MEDS_Blood,Med Infusion Rate,num,infusion rate,Clinical Encounters -> Med Infusion Rate,,Med_Infusion_Rate
PERIOP_MEDS_Blood,Med Infusion Rate Unit Desc,char(10),infusion rate unit,Clinical Encounters -> Med Infusion Rate Unit Desc,,Med_Infusion_Rate_Unit_Desc
PERIOP_MEDS_Blood,Med Code,num,UF medication code,Clinical Encounters -> Med Code,,Med_Code
PERIOP_MEDS_Blood,Med Therapy Class,char(),medication therapy class,Clinical Encounters -> Med Therapy Class,,Med_Therapy_Class
PERIOP_MEDS_Blood,Pharmacy Class,char(),medication classifcation,Clinical Encounters -> Pharmacy Class,,Pharmacy_Class
PERIOP_MEDS_Blood,Pharmacy Subclass,char(),medication sub-classification,Clinical Encounters -> Pharmacy Subclass,,Pharmacy_Subclass
PERIOP_MEDS_Blood,ORAL_MORPHINE_EQUIV_mg,num,Oral morphine equivlants in MG,Calculated,,ORAL_MORPHINE_EQUIV_mg
LAB_90_DAY_BEFORE_SURG_MOST_REC,PRECEDE Study ID,ID; String,subject ID from Precede,,,PRECEDE_Study_ID
LAB_90_DAY_BEFORE_SURG_MOST_REC,rt_RM_START_to_AN_START_mins,integer,Elapse time from room start to anesthesia start  in minutes,,,rt_RM_START_to_AN_START_mins
LAB_90_DAY_BEFORE_SURG_MOST_REC,rt_RM_START_to_INCISION_mins,integer,Elapse time from room start to incision in minutes,,,rt_RM_START_to_INCISION_mins
LAB_90_DAY_BEFORE_SURG_MOST_REC,rt_RM_START_to_DRESS_mins,integer,Elapse time from room start to dressing in minutes,,,rt_RM_START_to_DRESS_mins
LAB_90_DAY_BEFORE_SURG_MOST_REC,rt_RM_START_to_AN_END_mins,integer,Elapse time from room start to anestesia end in minutes,,,rt_RM_START_to_AN_END_mins
LAB_90_DAY_BEFORE_SURG_MOST_REC,rt_RM_START_to_RM_END_mins,integer,Elapse time from room start to room end in minutes,,,rt_RM_START_to_RM_END_mins
LAB_90_DAY_BEFORE_SURG_MOST_REC,LAB_RESULT,double,Result of the lab,,,LAB_RESULT
LAB_90_DAY_BEFORE_SURG_MOST_REC,APTT_LAB_DAYS_BEFORE_SURGERY,integer,Days before surgery,,,APTT_LAB_DAYS_BEFORE_SURGERY
LAB_90_DAY_BEFORE_SURG_MOST_REC,APTT_LAB_RESULT_VALUE,double,Result of the lab,,,APTT_LAB_RESULT_VALUE
LAB_90_DAY_BEFORE_SURG_MOST_REC,FIBRINOGEN_LAB_DAYS_BEFORE_SURGERY,integer,Days before surgery,,,FIBRINOGEN_LAB_DAYS_BEFORE_SURGE
LAB_90_DAY_BEFORE_SURG_MOST_REC,FIBRINOGEN_LAB_RESULT_VALUE,double,Result of the lab,,,FIBRINOGEN_LAB_RESULT_VALUE
LAB_90_DAY_BEFORE_SURG_MOST_REC,HCT_LAB_DAYS_BEFORE_SURGERY,integer,Days before surgery,,,HCT_LAB_DAYS_BEFORE_SURGERY
LAB_90_DAY_BEFORE_SURG_MOST_REC,HCT_LAB_RESULT_VALUE,double,Result of the lab,,,HCT_LAB_RESULT_VALUE
LAB_90_DAY_BEFORE_SURG_MOST_REC,HEMOGLOBIN_LAB_DAYS_BEFORE_SURGERY,integer,Days before surgery,,,HEMOGLOBIN_LAB_DAYS_BEFORE_SURGE
LAB_90_DAY_BEFORE_SURG_MOST_REC,HEMOGLOBIN_LAB_RESULT_VALUE,double,Result of the lab,,,HEMOGLOBIN_LAB_RESULT_VALUE
LAB_90_DAY_BEFORE_SURG_MOST_REC,PLATELET_COUNT_LAB_DAYS_BEFORE_SURGERY,integer,Days before surgery,,,PLATELET_COUNT_LAB_DAYS_BEFORE_S
LAB_90_DAY_BEFORE_SURG_MOST_REC,PLATELET_COUNT_LAB_RESULT_VALUE,double,Result of the lab,,,PLATELET_COUNT_LAB_RESULT_VALUE
LAB_90_DAY_BEFORE_SURG_MOST_REC,PROTIME_INR_LAB_DAYS_BEFORE_SURGERY,integer,Days before surgery,,,PROTIME_INR_LAB_DAYS_BEFORE_SURG
LAB_90_DAY_BEFORE_SURG_MOST_REC,PROTIME_INR_LAB_RESULT_VALUE,double,Result of the lab,,,PROTIME_INR_LAB_RESULT_VALUE
SURGERY_BLOOD_LOSS,PRECEDE Study ID,ID,the subject ID provided by PI,,,PRECEDE_Study_ID
SURGERY_BLOOD_LOSS,rt_RM_START_to_RECORDED_mins,Num,"the relative vital values recorded time, which is the length of time that has elapsed since patient is in the OR.",,,rt_RM_START_to_RECORDED_mins
SURGERY_BLOOD_LOSS,rt_RM_START_to_AN_START_mins,Num,the elapsed time from OR start to anesthesia start,,,rt_RM_START_to_AN_START_mins
SURGERY_BLOOD_LOSS,rt_RM_START_to_INCISION_mins,Num,the elapsed time from OR start to incision,,,rt_RM_START_to_INCISION_mins
SURGERY_BLOOD_LOSS,rt_RM_START_to_DRESS_mins,Num,the elapsed time from OR start to dressing,,,rt_RM_START_to_DRESS_mins
SURGERY_BLOOD_LOSS,rt_RM_START_to_AN_END_mins,Num,the elapsed time from OR start to anesthesia end,,,rt_RM_START_to_AN_END_mins
SURGERY_BLOOD_LOSS,rt_RM_START_to_RM_END_mins,Num,the elapsed time from OR start to OR end,,,rt_RM_START_to_RM_END_mins
SURGERY_BLOOD_LOSS,Blood_Loss_Total_CC,num,Total blood loss,,matched thru CSN(Anes),Blood_Loss_Total_CC
